a,e,inc,Omega,omega,M,dist,H,RESO,Ifree,IfreeRange,qForced,pForced,OSSOS,DES,ID,Name
42.70402,0.00782,1.0935,314.23199,14.67607,171.38319,43.03421,5.75,0,2.7292,0.2124,0.5239,1.9352,x,x,a0420356,420356 Praamzius (2012 BX85)
40.09774,0.05406,23.91391,99.84769,66.90944,252.98776,40.83641,7.1,0,22.2429,0.2807,-0.0748,1.6841,x,x,a0427614,427614 (2003 SR422)
42.5618,0.04799,2.2716,84.34116,115.49265,354.25283,40.53044,7.0,0,0.5432,0.4394,0.7078,2.0136,x,x,a0434194,434194 (2003 FK127)
42.17429,0.22816,17.91555,130.4296,59.39177,344.61385,33.12182,7.63,53,16.7496,125.5641,0.2561,1.8245,L5c08,x,a0434709,434709 (2006 CJ69)
42.50318,0.07243,21.73365,203.311,11.60641,11.87603,39.50126,7.2,0,22.2652,0.1962,-0.1864,1.6347,x,x,a0437871,437871 (2001 FN185)
44.48283,0.13696,6.58667,22.17606,24.69334,180.61138,50.57484,5.9,95,6.0005,0.7539,0.1417,1.7718,x,x,a0437915,437915 (2002 GD32)
42.63062,0.04081,3.1867,133.05816,187.22446,23.71302,41.04977,7.6,0,2.7616,0.3716,0.5599,1.9506,L4q15,x,a0439858,439858 (1999 ON4)
46.4462,0.11809,10.63571,205.77477,334.49285,38.13323,42.417,7.27,0,11.2669,0.2007,-0.2032,1.6253,o3e23PD,x,a0443843,443843 (2001 FO185)
44.155,0.04426,2.82143,65.61026,121.50326,35.71653,42.59941,7.0,0,1.3554,0.0937,0.0866,1.7486,o3e27PD,x,a0444018,444018 (2004 EU95)
43.96603,0.04638,3.31542,45.29657,282.53364,263.9831,44.2725,6.9,0,2.284,0.1506,0.126,1.7653,o3e37PD,x,a0444025,444025 (2004 HJ79)
43.43708,0.15044,31.22843,241.01374,37.94867,46.09651,39.50255,4.75,0,32.4554,0.3512,-0.3375,1.57,x,x,a0444030,444030 (2004 NT33)
39.34955,0.18336,15.08033,207.49445,122.82485,300.43726,36.81059,5.47,32,101.7607,616.3834,79.0561,35.6187,o3o20PD,x,a0444745,444745 (2007 JF43)
45.97571,0.11991,2.08727,113.79039,132.54485,82.5631,45.92115,7.1,0,0.8207,0.0802,-0.0515,1.6891,L4q11,x,a0455171,455171 (1999 OM4)
46.67178,0.12422,2.81359,154.90189,338.63863,63.01149,44.65908,6.8,0,2.4499,0.1748,-0.1411,1.6512,o5p111PD,x,a0455206,455206 (2001 FE193)
45.09494,0.08686,1.7084,184.52766,344.73989,65.14994,43.74374,7.1,0,2.4956,0.1437,-0.0164,1.7045,x,x,a0455209,455209 (2001 KT76)
43.93418,0.02907,0.75687,212.69702,6.70047,353.42424,42.66607,7.5,0,2.3029,0.0982,0.1243,1.7646,x,x,a0468422,468422 (2000 FA8)
43.66008,0.14424,25.4754,119.01416,144.85181,253.6026,46.21652,5.28,74,23.9511,0.8551,-0.2793,1.5949,x,x,a0469306,469306 (1999 CD158)
43.16029,0.11973,17.13553,188.16434,314.49736,59.01752,40.99658,6.43,0,17.3723,0.3387,-0.0832,1.6781,x,x,a0469361,469361 (2001 HY65)
39.55759,0.28257,17.51813,223.00556,52.9166,355.57345,28.44444,7.4,-1,-,-,-,-,x,x,a0469362,469362 (2001 KB77)
39.37616,0.11116,22.35199,164.18444,42.1948,161.29066,43.56498,5.37,32,22.0956,2.393,0.1665,1.788,x,DESY6_0035,a0469372,469372 (2001 QF298)
