,des,type,p,q,soi,a,e,i,q.1,Name
325,455502, resonant,3,2, S,39.232,0.223,12.045,30.483264,2003 UZ413
326,456826, resonant,3,2, S,39.327,0.276,28.539,28.472748,2007 TH422
327,459865, centaur,0,0, S,13.436,0.373,22.521,8.424372,2013 XZ8
328,459870, jc,0,0, S,10.896,0.402,165.563,6.515808,2014 AT28
329,459971, centaur,0,0, S,13.279,0.564,3.941,5.789644,2014 ON6
330,463368, centaur,0,0, S,29.233,0.31,15.067,20.17077,2012 VU85
331,463663, centaur,0,0, S,18.364,0.62,14.051,6.97832,2014 HY123
332,468422, classical, m,0, S,43.932,0.029,0.757,42.657972,2000 FA8
333,468861, scattering,0,0, S,173.783,0.95,125.367,8.68915,2013 LU28
334,469306, resonant,7,4, SH,43.659,0.144,25.475,37.372104,1999 CD158
335,469333, detached,0,0, I,54.317,0.342,18.413,35.740586,2000 PE30
336,469361, classical, m,0, S,43.158,0.12,17.136,37.97904,2001 HY65
337,469362, resonant,3,2, S,39.556,0.283,17.519,28.361652,2001 KB77
338,469372, resonant,3,2, S,39.378,0.111,22.352,35.007042,2001 QF298
339,469420, resonant,5,3, S,42.2,0.217,2.608,33.0426,2001 XP254
340,469421, resonant,3,2, S,39.39,0.11,18.1,35.0571,2001 XD255
341,469438, classical, m,0, S,44.011,0.091,2.182,40.005999,2002 GV31
342,469442, scattering,0,0, S,34.422,0.59,7.711,14.11302,2002 GG166
343,469505, resonant,2,1, S,47.931,0.252,3.385,35.852388,2003 FE128
344,469506, resonant,3,2, S,39.504,0.215,1.911,31.01064,2003 FF128
345,469509, classical, m,0, S,44.027,0.067,1.042,41.077191,2003 HC57
346,469514, classical, m,0, S,44.384,0.069,2.415,41.321504,2003 QA91
347,469584, resonant,5,3, S,42.164,0.153,2.386,35.712908,2003 YW179
348,469610, classical, m,0, S,43.273,0.028,1.485,42.061356,2004 HF79
349,469615, classical, m,0, S,40.545,0.058,26.122,38.19339,2004 PT107
350,469704, resonant,3,2, S,39.433,0.15,1.774,33.51805,2005 EZ296
351,469705, classical, m,0, S,44.008,0.09,2.867,40.04728,2005 EF298
352,469707, resonant,3,2, S,39.429,0.236,14.687,30.123756,2005 GB187
353,469708, resonant,3,2, S,39.329,0.325,18.251,26.547075,2005 GE187
354,469750, scattering,0,0, S,174.543,0.832,6.175,29.323224,2005 PU21
